"case_id","symptom","topology_note","show_outputs","expected_fault","osi_layer","concept","severity","expected_next_command","expected_fix","difficulty","explanation"
"VLAN-001","PC-1 in Sales cannot communicate with PC-2 in Sales across Switch-1 and Switch-2; ping fails with Request Timed Out.","PC-1 (192.168.10.10/24) -> SW-1 (Fa0/1 access VLAN 10) -> Trunk Fa0/24 -> SW-2 (Fa0/24) -> PC-2 (Fa0/2 access VLAN 10, 192.168.10.20/24).","SW-1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Fa0/24      on           802.1q         trunking      1

Port        Vlans allowed on trunk
Fa0/24      1-9,11-4094

SW-2# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
10   Sales                            active    Fa0/2
","VLAN 10 is missing from the allowed VLAN list on trunk link Fa0/24 of SW-1.","Layer 2","VLAN","High","show interfaces Fa0/24 switchport","SW-1(config-if)# switchport trunk allowed vlan add 10","Medium","Trunk port Fa0/24 on SW-1 has an explicit allowed list (1-9,11-4094) that prunes VLAN 10, preventing inter-switch broadcast and unicast frames for Sales."
"VLAN-002","CDP native VLAN mismatch warnings logged continuously; untagged traffic is leaking between VLAN 1 and VLAN 99.","SW-1 (Gig0/1 Native VLAN 1) <---> (Gig0/1 Native VLAN 99) SW-2.","%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (1), with SW-2 GigabitEthernet0/1 (99).
SW-1# show interfaces gig0/1 switchport
Name: Gi0/1
Administrative Mode: trunk
Trunking Native Mode VLAN: 1 (default)
Trunking VLANs Enabled: ALL
SW-2# show interfaces gig0/1 switchport
Name: Gi0/1
Administrative Mode: trunk
Trunking Native Mode VLAN: 99 (Management)
","Native VLAN mismatch between SW-1 (VLAN 1) and SW-2 (VLAN 99) on trunk Gi0/1.","Layer 2","VLAN","Medium","show interfaces trunk","SW-1(config-if)# switchport trunk native vlan 99","Easy","Both ends of an 802.1Q trunk must agree on the native VLAN. A mismatch causes untagged frames sent by SW-1 on VLAN 1 to be received by SW-2 into VLAN 99."
"VLAN-003","Finance PC (192.168.20.15) connected to Fa0/5 cannot reach its default gateway (192.168.20.1) or any other Finance hosts.","PC-Finance (192.168.20.15/24) -> SW-1 Fa0/5 -> Gateway on Router subinterface G0/0.20.","SW-1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/3, Fa0/4, Fa0/5
10   Sales                            active    Fa0/2
20   Finance                          active    

SW-1# show interfaces Fa0/5 switchport
Name: Fa0/5
Administrative Mode: static access
Access Mode VLAN: 1 (default)
","Access port Fa0/5 is assigned to default VLAN 1 instead of Finance VLAN 20.","Layer 2","VLAN","High","show running-config interface Fa0/5","SW-1(config)# interface Fa0/5
SW-1(config-if)# switchport access vlan 20","Easy","Port Fa0/5 is in VLAN 1 by default, isolating the PC from Finance broadcast domain VLAN 20 where its gateway and peers reside."
"VLAN-004","All host ports in VLAN 50 (Engineering) are down/down or inactive after reboot; switch reports VLAN does not exist.","SW-Core connecting engineering lab workstations on Fa0/10 - Fa0/20.","SW-Core# show vlan id 50
VLAN id 50 not found in current VLAN database

SW-Core# show interfaces Fa0/10 switchport
Name: Fa0/10
Access Mode VLAN: 50 (inactive)
Operational Mode: down
","VLAN 50 is not created in the local switch VLAN database.","Layer 2","VLAN","Critical","show vlan brief","SW-Core(config)# vlan 50
SW-Core(config-vlan)# name Engineering","Easy","Ports assigned to non-existent VLANs show 'inactive' state. Defining 'vlan 50' activates the ports immediately."
"GW-001","Workstation can ping other workstations on the same local subnet (10.0.1.0/24) but cannot ping 8.8.8.8 or corporate servers.","Host-A (10.0.1.50/24) -> SW-1 -> Router-1 (G0/0 IP 10.0.1.1/24) -> WAN.","Host-A> ipconfig
   IPv4 Address. . . . . . . . . . . : 10.0.1.50
   Subnet Mask . . . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . . . : 10.0.1.254

Host-A> ping 10.0.1.254
Request timed out.

Router-1# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     10.0.1.1        YES manual up                    up
","Host default gateway is configured as 10.0.1.254, but router interface is 10.0.1.1.","Layer 3","Gateway","High","show arp","Change Host-A Default Gateway to 10.0.1.1 (or update DHCP scope option 3).","Easy","Host-A sends ARP requests for non-existent IP 10.0.1.254 when trying to route packets off-subnet. The actual gateway on R1 is 10.0.1.1."
"GW-002","Router-on-a-stick subinterface for VLAN 30 fails to route traffic; hosts in VLAN 30 cannot reach their gateway 192.168.30.1.","SW-1 (Trunk Gi0/1) <---> R1 (G0/0.30 subinterface).","R1# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0.30  192.168.30.1    YES manual up                    up

R1# show running-config interface g0/0.30
interface GigabitEthernet0/0.30
 encapsulation dot1Q 300
 ip address 192.168.30.1 255.255.255.0
","Subinterface dot1Q encapsulation tag is misconfigured as 300 instead of VLAN 30.","Layer 3","Gateway","High","show interfaces trunk on SW-1","R1(config)# interface g0/0.30
R1(config-subif)# encapsulation dot1Q 30","Medium","Router expects frames tagged with 802.1Q tag 300, while switch frames arrive tagged as VLAN 30. The router ignores incoming frames."
"GW-003","HSRP standby router is not responding to default gateway VIP 172.16.1.1 when primary router goes offline.","R1 (Active 172.16.1.2) and R2 (Standby 172.16.1.3), VIP: 172.16.1.1.","R2# show standby brief
                     P Indicates configured to preempt.
                     |
Interface   Grp  Pri P State   Active          Standby         Virtual IP
Gi0/0       10   90    Standby 172.16.1.2      local           172.16.1.254
","HSRP Virtual IP mismatch on R2 (configured 172.16.1.254 instead of 172.16.1.1).","Layer 3","Gateway","Critical","show standby on R1 and R2","R2(config-if)# standby 10 ip 172.16.1.1","Medium","R2 has virtual IP set to 172.16.1.254 while R1 and clients use 172.16.1.1. Failover causes gateway blackhole."
"GW-004","Entire branch office lost internet connectivity suddenly; router interface connecting LAN switch is administratively shut down.","Branch LAN -> Switch -> R-Branch G0/0 -> ISP.","R-Branch# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     192.168.1.1     YES manual administratively down down
GigabitEthernet0/1     203.0.113.2     YES manual up                    up
","LAN gateway interface GigabitEthernet0/0 is administratively down.","Layer 1","Gateway","Critical","show running-config interface g0/0","R-Branch(config)# interface GigabitEthernet0/0
R-Branch(config-if)# no shutdown","Easy","Interface G0/0 is in 'administratively down' state due to a shutdown command, cutting off LAN hosts from their default gateway."
"DHCP-001","New clients in VLAN 20 receive 169.254.x.x APIPA addresses; static IP assignment works normally.","Client (VLAN 20) -> SW-Access -> R1 (Router G0/0.20) -> Central DHCP Server (10.10.10.5 on G0/1).","Client> ipconfig
   Autoconfiguration IPv4 Address. : 169.254.120.44
   Subnet Mask . . . . . . . . . . . : 255.255.0.0

R1# show running-config interface g0/0.20
interface GigabitEthernet0/0.20
 encapsulation dot1Q 20
 ip address 192.168.20.1 255.255.255.0
!
","Missing 'ip helper-address 10.10.10.5' on router subinterface G0/0.20.","Layer 7","DHCP","High","show ip dhcp server statistics","R1(config-subif)# ip helper-address 10.10.10.5","Medium","DHCP Discover broadcasts from clients in VLAN 20 are dropped by R1 because DHCP Relay (ip helper-address) is not configured on G0/0.20."
"DHCP-002","Clients receive IP addresses from DHCP but cannot browse websites by domain or IP; default gateway option is missing from lease.","Cisco IOS Router acting as local DHCP server for 192.168.1.0/24 subnet.","Client> ipconfig
   IPv4 Address. . . . . . . . . . . : 192.168.1.102
   Subnet Mask . . . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . . . : 0.0.0.0

R1# show running-config | section dhcp
ip dhcp pool LAN_POOL
 network 192.168.1.0 255.255.255.0
 dns-server 8.8.8.8
","DHCP pool LAN_POOL is missing the 'default-router 192.168.1.1' configuration option.","Layer 7","DHCP","High","show ip dhcp pool","R1(config)# ip dhcp pool LAN_POOL
R1(config-dhcp)# default-router 192.168.1.1","Easy","DHCP option 3 (Default Router) is omitted in pool configuration, so clients are assigned 0.0.0.0 as gateway and cannot route traffic outside the subnet."
