case_id,expected_concept,predicted_concept,expected_layer,predicted_layer,verdict,confidence,predicted_root_cause,expected_fault
ACL-001,ACL,ACL,Layer 4,Layer 4,MATCH,High,The extended ACL permits HTTPS/other ports but not TCP/80 (and ICMP); HTTP and ping hit the implicit 'deny ip any any'.,ACL FILTER_WEB permits port 443 (HTTPS) but drops HTTP port 80 and ICMP via implicit deny.
ACL-002,ACL,ACL,Layer 3,Layer 4,PARTIAL,High,A standard ACL uses a subnet mask (255.255.255.0) instead of an inverse wildcard mask (0.0.0.255); the entry matches no host packets and the implicit deny drops everything.,Standard ACL 10 uses a subnet mask (255.255.255.0) instead of a wildcard mask (0.0.0.255).
ACL-003,ACL,ACL,Layer 4,Layer 4,MATCH,Medium,"Every permit entry in the applied ACL shows 0 matches - the source address the user connects from is not listed, so the implicit deny blocks them.",VTY access-class 23 does not permit Admin PC IP address 10.0.0.50.
ACL-004,ACL,ACL,Layer 4,Layer 4,MATCH,High,"The inbound WAN ACL denies traffic to the LAN and never permits 'established' TCP, so replies to outbound sessions are dropped.",Inbound WAN ACL blocks all traffic without permitting established TCP sessions (missing 'permit tcp any 192.168.1.0 0.0.0.255 established').
ACL-005,ACL,ACL,Layer 4,Layer 4,MATCH,High,"The outbound ACL permits web ports but not UDP/53, so DNS queries are denied and browsing fails.",ACL OUTBOUND_WAN does not permit UDP port 53 (DNS) outbound traffic.
DHCP-001,DHCP,DHCP,Layer 7,Layer 7,MATCH,High,"A 169.254.x.x address means the client never received a DHCP reply - the DHCP server is down or, across a routed boundary, 'ip helper-address' is missing.",Missing 'ip helper-address 10.10.10.5' on router subinterface G0/0.20.
DHCP-002,DHCP,DHCP,Layer 7,Layer 7,MATCH,High,"No usable default gateway - the DHCP lease is missing the 'default-router' option, so the host cannot route off-subnet.",DHCP pool LAN_POOL is missing the 'default-router 192.168.1.1' configuration option.
DHCP-003,DHCP,Gateway,Layer 3,Layer 3,PARTIAL,High,"IOS reports a duplicate IP (192.168.10.1) on GigabitEthernet0/0. Two devices claim the same address, causing ARP instability and intermittent loss.",Static router IP 192.168.10.1 is not excluded from DHCP distribution pool.
DHCP-004,DHCP,DHCP,Layer 7,Layer 7,MATCH,High,Every address in the DHCP scope is leased; new clients get nothing. Enlarge the subnet/scope or shorten the lease time.,DHCP address pool exhaustion (all 14 available host addresses are leased).
DHCP-005,DHCP,DNS,Layer 7,Layer 7,PARTIAL,High,The client has no DNS server (0.0.0.0) - the DHCP pool 'dns-server' option is missing or misspelt.,Missing 'dns-server' configuration in DHCP pool CORP_USERS.
DNS-001,DNS,DNS,Layer 7,Layer 7,MATCH,High,"Name resolution points at 192.168.1.250, which does not answer - correct the host/DHCP dns-server value.",Client DNS server is set to unreachable IP 192.168.1.250.
DNS-002,DNS,ACL,Layer 4,Layer 4,PARTIAL,High,"An access-list entry explicitly denies UDP/53, so name resolution to that server fails while IP connectivity still works.",ACL 101 explicitly denies UDP port 53 (DNS) traffic to DNS server 10.50.1.10.
GW-001,Gateway,Gateway,Layer 3,Layer 3,MATCH,Medium,The host cannot reach 10.0.1.254. Confirm the target IP is correct and that L2 adjacency / the gateway interface is up.,"Host default gateway is configured as 10.0.1.254, but router interface is 10.0.1.1."
GW-002,Gateway,VLAN,Layer 3,Layer 2,MISMATCH,High,The dot1Q tag (300) does not match the VLAN the subinterface serves (30); tagged frames for VLAN 30 are never de-encapsulated.,Subinterface dot1Q encapsulation tag is misconfigured as 300 instead of VLAN 30.
GW-003,Gateway,Gateway,Layer 3,Layer 3,MATCH,High,"The HSRP peers do not share an identical virtual IP, so failover to the standby does not present the expected default gateway.",HSRP Virtual IP mismatch on R2 (configured 172.16.1.254 instead of 172.16.1.1).
GW-004,Gateway,Gateway,Layer 1,Layer 3,PARTIAL,High,GigabitEthernet0/0 has been shut down in configuration and cannot pass traffic until 'no shutdown' is issued.,LAN gateway interface GigabitEthernet0/0 is administratively down.
GW-005,Gateway,Gateway,Layer 3,Layer 3,MATCH,High,"Host and gateway disagree on the subnet mask, so each computes a different network boundary and local hosts appear remote.",Subnet mask mismatch: Host-B has 255.255.0.0 (/16) while gateway router uses 255.255.255.0 (/24).
GW-006,Gateway,Gateway,Layer 3,Layer 3,MATCH,High,"IOS reports a duplicate IP (192.168.10.1) on GigabitEthernet0/0.10. Two devices claim the same address, causing ARP instability and intermittent loss.",Duplicate IP address conflict: Host workstation is assigned identical IP (192.168.10.1) as Router gateway.
NAT-001,NAT,NAT,Layer 3,Layer 3,MATCH,High,"No interface carries 'ip nat inside', so the router never translates LAN traffic and 'show ip nat translations' stays empty.",Missing 'ip nat inside' configuration on LAN interface GigabitEthernet0/0.
NAT-002,NAT,NAT,Layer 3,Layer 3,MATCH,Medium,"The subnet 192.168.20.0/24 from the symptom is not permitted by the NAT ACL, so that LAN is never translated.",NAT access list NAT_ACL does not include the 192.168.20.0/24 subnet.
NAT-003,NAT,NAT,Layer 3,Layer 3,MATCH,Medium,A static port-forward maps public 203.0.113.10:80 to internal 192.168.1.55:80 - verify the internal IP is the real server.,Static NAT port forwarding statement maps to incorrect internal IP 192.168.1.55 instead of 192.168.1.50.
NAT-004,NAT,NAT,Layer 3,Layer 3,MATCH,High,"The dynamic NAT statement is missing the 'overload' keyword, so only one inside host can use the public IP at a time.",NAT configuration is missing the 'overload' keyword (Port Address Translation / PAT disabled).
ROUT-001,Routing,Routing,Layer 3,Layer 3,MATCH,Medium,No default route: traffic to any network not explicitly in the routing table is dropped. Add 'ip route 0.0.0.0 0.0.0.0 <next-hop>' or a routing-protocol default.,HQ-Rtr is missing a route to destination network 10.2.2.0/24.
ROUT-002,Routing,Routing,Layer 3,Layer 3,MATCH,High,OSPF neighbours must use identical Hello and Dead intervals or the adjacency never leaves INIT/DOWN.,OSPF Hello/Dead timer mismatch (R1 Hello 10s/Dead 40s vs R2 Hello 30s/Dead 120s).
ROUT-003,Routing,Routing,Layer 3,Layer 3,MATCH,High,Interfaces on the same segment are in different OSPF areas; move one end into the matching area.,OSPF Area mismatch on interconnecting link (R1 in Area 0 vs R3 in Area 1).
ROUT-004,Routing,Routing,Layer 3,Layer 3,MATCH,Medium,"The next-hop 203.0.113.5 is not on the directly connected WAN subnet, so the router cannot resolve it.",Static default route next-hop 203.0.113.5 is not in the local WAN subnet 203.0.113.0/30.
ROUT-005,Routing,Routing,Layer 3,Layer 3,MATCH,High,EIGRP routers must share one AS number to become neighbours.,EIGRP Autonomous System (AS) number mismatch (R1 AS 100 vs R2 AS 200).
ROUT-006,Routing,Routing,Layer 3,Layer 3,MATCH,Medium,The static route uses an exit interface rather than a next-hop IP. Confirm GigabitEthernet0/0 is the correct egress toward 192.168.50.0/24.,Static route specifies exit interface GigabitEthernet0/0 (LAN) instead of GigabitEthernet0/1 (WAN).
ROUT-007,Routing,Routing,Layer 3,Layer 3,MATCH,High,RIPv1 broadcasts and RIPv2 multicasts are not interoperable - set 'version 2' on both routers.,RIP version mismatch between R1 (sending v1 broadcasts) and R2 (listening for v2 multicasts).
VLAN-001,VLAN,VLAN,Layer 2,Layer 2,MATCH,High,The trunk carries an explicit (pruned) allowed-VLAN list. Any production VLAN not in this range is dropped between switches.,VLAN 10 is missing from the allowed VLAN list on trunk link Fa0/24 of SW-1.
VLAN-002,VLAN,VLAN,Layer 2,Layer 2,MATCH,High,Trunk GigabitEthernet0/1 native VLAN differs between the two ends (1 vs 99); untagged frames leak between broadcast domains.,Native VLAN mismatch between SW-1 (VLAN 1) and SW-2 (VLAN 99) on trunk Gi0/1.
VLAN-003,VLAN,VLAN,Layer 2,Layer 2,MATCH,Medium,The port that should carry a department VLAN is still in the default VLAN 1 - run 'switchport access vlan <id>'.,Access port Fa0/5 is assigned to default VLAN 1 instead of Finance VLAN 20.
VLAN-004,VLAN,VLAN,Layer 2,Layer 2,MATCH,High,VLAN 50 was never created on this switch; every access port in VLAN 50 stays operationally down.,VLAN 50 is not created in the local switch VLAN database.
VLAN-005,VLAN,VLAN,Layer 2,Layer 2,MATCH,High,DTP cannot negotiate a trunk because the peer is hard-set to access mode. Set 'switchport mode trunk' on both ends.,"SW-B is statically configured in access mode, preventing DTP dynamic trunk negotiation."
VLAN-006,VLAN,VLAN,Layer 2,Layer 2,MATCH,Medium,"The IP phone and PC share one port but no voice VLAN is configured, so phone traffic lands untagged in the data VLAN.",Missing Voice VLAN configuration on switchport Fa0/10 (Voice VLAN is 'none').
WLAN-001,Wireless,Wireless,Layer 2,Layer 2,MATCH,High,"The client and access point WPA2 pre-shared keys differ, so the 4-way handshake fails with an authentication error.",WPA2 Pre-Shared Key (PSK) password mismatch between Laptop and Access Point.
